scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory,label,date
2,0,2,monthly,load,all,kW,4032,785718.2121664245,233839936.53384128,663325.8240498387,18212126.7901,194.8705883349267,240.8236201152557,4.314258412661261,164.51533334569413,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,2,monthly,load,pv_generating,kW,2036,407909.0786866122,125063875.2214852,334614.4559955576,11041710.0541,200.3482704747604,247.8432263418925,3.6942563849985146,164.34894695263142,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,2,monthly,pv,all,kW,4032,644886.4474665339,443627710.3190842,-459981.7977476384,7928848.7577,159.9420752645173,331.7027492632831,8.13341844665987,-114.08278713979128,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,2,monthly,pv,pv_generating,kW,2036,642746.6141153477,443607100.6347631,-462121.63109882455,7928848.7577,315.6908713729606,466.77797728257633,8.106430501542265,-226.97526085403956,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,2,monthly,net_load,all,kW,4032,1302157.29137959,830800438.0940449,1123307.6217974771,11949435.2218,322.95567742549355,453.9291750437113,10.897228757757471,278.5981204854854,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,2,monthly,net_load,pv_generating,kW,2036,925611.5253850048,722607493.3905851,796736.0870943822,4779018.4858,454.6225566723993,595.7476578240501,19.368234882022204,391.324207806671,no_season,42,no_season_seed_42,False,exp004 无季节,2025-02-01
2,0,3,monthly,load,all,kW,4464,731837.722775613,196597544.32936415,512373.5966462493,19443840.3155,163.94214219883804,209.85868705527457,3.7638538010015217,114.77903150677628,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,3,monthly,load,pv_generating,kW,2426,414897.58067048655,118560890.62329814,286135.94710526324,12447297.5511,171.02126161190708,221.06771802672628,3.3332342138299804,117.94556764437893,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,3,monthly,pv,all,kW,4464,953078.0739668362,801058556.6014919,-558228.7556302184,10285934.3167,213.5031527703486,423.61374079368943,9.265838616327164,-125.05124454081954,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,3,monthly,pv,pv_generating,kW,2426,949049.171919824,800961463.608781,-562257.6576772309,10285934.3167,391.19916402301067,574.5931079814749,9.226669573214853,-231.7632554316698,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,3,monthly,net_load,all,kW,4464,1500530.3750657802,1130250061.457239,1070602.3522764675,12562015.0946,336.14031699502243,503.18209235661186,11.944981468067247,239.83027604759585,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,3,monthly,net_load,pv_generating,kW,2426,1185241.1779902764,1053119636.2834373,848393.604782494,5565472.3302,488.5577815293802,658.860478058895,21.296326846488583,349.70882307604865,no_season,42,no_season_seed_42,False,exp004 无季节,2025-03-01
2,0,4,monthly,load,all,kW,4320,614987.5181005519,135692909.20249906,374424.3277319631,18977659.7719,142.35822178253517,177.22978205912975,3.2405866976873345,86.67229808610256,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,4,monthly,load,pv_generating,kW,2526,355579.74184869655,78129547.48911679,206767.5708416013,12832349.4944,140.76791047058455,175.8696832391171,2.770963664945928,81.85572875756188,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,4,monthly,pv,all,kW,4320,1132718.26480585,1074885891.0824783,-770461.5920784797,11671282.1779,262.2033020383912,498.81477373000337,9.705174183438846,-178.34759075890733,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,4,monthly,pv,pv_generating,kW,2526,1130272.767584334,1074836045.5551465,-772907.0892999959,11671282.1779,447.4555691149382,652.310603423959,9.684221068054944,-305.9806370942185,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,4,monthly,net_load,all,kW,4320,1566822.035532739,1345839862.8383331,1144885.9198104427,12041832.4582,362.6902860029488,558.1550011301979,13.011491739081595,265.0198888450099,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,4,monthly,net_load,pv_generating,kW,2526,1308271.085371606,1288705918.3723052,979674.6601415972,5896522.1807,517.922044881871,714.2664288780006,22.187164658749673,387.8363658517804,no_season,42,no_season_seed_42,False,exp004 无季节,2025-04-01
2,0,5,monthly,load,all,kW,4464,742450.4470000147,197786652.1004888,246895.3845327549,19649089.488,166.31954457885635,210.4923887494169,3.7785488607675215,55.30810585411176,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,5,monthly,load,pv_generating,kW,2747,425175.871424305,104613187.00791712,174519.16047318716,13593091.3839,154.77825679807245,195.14790206307717,3.1278820940459062,63.53081924761091,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,5,monthly,pv,all,kW,4464,1129849.069920558,1007816767.3609984,-681546.0638570206,12528226.6982,253.10239021517876,475.14777161928856,9.018427724355352,-152.67608957370533,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,5,monthly,pv,pv_generating,kW,2747,1126851.4307210038,1007726203.1695676,-684543.7030565749,12528226.6982,410.21166025518886,605.6782048198529,8.994500641362956,-249.19683402132324,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,5,monthly,net_load,all,kW,4464,1655783.297719305,1317665055.6445894,928441.4483897754,12329827.1922,370.91919751776544,543.3008961152798,13.42908762554899,207.98419542781707,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,5,monthly,net_load,pv_generating,kW,2747,1339080.9644608512,1224600913.5843527,859062.863529762,6273829.088099999,487.47031833303646,667.679373467021,21.343918453258116,312.7276532689341,no_season,42,no_season_seed_42,False,exp004 无季节,2025-05-01
2,0,6,monthly,load,all,kW,4320,905407.4210441792,317058275.9071311,150640.61344859967,20737609.7592,209.58505116763405,270.91164504861547,4.366016293861955,34.870512372361034,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,6,monthly,load,pv_generating,kW,2765,535679.4559658264,175382676.18265206,132025.74157575844,14541332.1321,193.7357887760674,251.8522171960472,3.683840318751222,47.748911962299616,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,6,monthly,pv,all,kW,4320,1037793.0184477944,917597523.4612544,-437559.333191027,10237650.7621,240.22986538143385,460.8761592169307,10.137023058939713,-101.2868826831081,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,6,monthly,pv,pv_generating,kW,2765,1036843.1989755268,917574369.652807,-438509.15266329434,10237650.7621,374.98849872532617,576.0670952649061,10.127745349684542,-158.5928219397086,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,6,monthly,net_load,all,kW,4320,1665671.7464665046,1313522458.1745234,588199.9466396268,12512603.2655,385.5721635339131,551.412844044674,13.311952046454858,136.15739505546915,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,6,monthly,net_load,pv_generating,kW,2765,1295876.9555558492,1171771316.749033,570534.8942390528,6316325.6384,468.67159332942106,650.9893199316801,20.51631011038421,206.34173390200823,no_season,42,no_season_seed_42,False,exp004 无季节,2025-06-01
2,0,7,monthly,load,all,kW,4464,1297201.5407552237,578509197.9709501,108638.87184278184,23825522.6407,290.5917430007221,359.9921587815121,5.444587975330607,24.336664839332848,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,7,monthly,load,pv_generating,kW,2784,787094.3512196464,345767395.78868234,49184.46397691997,16157122.530900002,282.7206721334937,352.4174496703329,4.871500786816171,17.666833325043093,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,7,monthly,pv,all,kW,4464,1219993.4188751564,1152131030.1179824,-866377.3345843358,12156607.0836,273.29601677310853,508.02939752934407,10.035640787642151,-194.08094412731535,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,7,monthly,pv,pv_generating,kW,2784,1219013.5903919293,1152117339.5894902,-867357.163067563,12156607.0836,437.8640770085953,643.3002808093032,10.027580738678743,-311.55070512484303,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,7,monthly,net_load,all,kW,4464,2040929.145317639,1691290145.110557,975016.2064271178,14558102.5933,457.1973891840589,615.5267990852632,14.019197434814927,218.41760896664823,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,7,monthly,net_load,pv_generating,kW,2784,1531169.9420753657,1458696460.8942266,916541.6270444829,6889702.4835,549.9892033316686,723.8487840031308,22.224035736555116,329.2175384498861,no_season,42,no_season_seed_42,False,exp004 无季节,2025-07-01
2,0,8,monthly,load,all,kW,4464,910571.1794616338,290249898.31307113,506034.91839006456,22521670.3527,203.9809989833409,254.99046749043904,4.043089012500667,113.35907670028328,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,8,monthly,load,pv_generating,kW,2668,546683.4383226022,173498067.93259603,325889.41315843054,14745514.2869,204.9038374522497,255.00835445981247,3.7074558925915455,122.1474562063083,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,8,monthly,pv,all,kW,4464,1238300.4646540182,1129342487.6957424,-927272.374100794,13016993.1671,277.3970574941797,502.98002796730657,9.51295317403853,-207.7223060261635,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,8,monthly,pv,pv_generating,kW,2668,1238300.4646540182,1129342487.6957426,-927272.374100794,13016993.1671,464.1306089407864,650.6087818285328,9.51295317403853,-347.5533636059947,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,8,monthly,net_load,all,kW,4464,1908393.1065739305,1642151070.8490767,1433307.2924908584,14763437.7052,427.50741634720663,606.5190708087599,12.92648192569508,321.08138272644675,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,8,monthly,net_load,pv_generating,kW,2668,1544505.365434899,1525399240.4686017,1253161.7872592243,6987281.6394,578.9000620070835,756.1341453425108,22.10452426485454,469.700819812303,no_season,42,no_season_seed_42,False,exp004 无季节,2025-08-01
2,0,9,monthly,load,all,kW,4320,1241856.5116810584,679747911.7309116,1053299.230729323,19595133.0698,287.4667851113561,396.6724765362663,6.337576311716946,243.81926637252857,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,9,monthly,load,pv_generating,kW,2415,632078.5920102982,318312537.06574064,540069.8427015838,12617957.8663,261.7302658427736,363.05155772643985,5.009357288301394,223.6314048453763,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,9,monthly,pv,all,kW,4320,1047030.3332140552,953584411.77551,-699395.9090614661,11264829.8663,242.36813268843872,469.8267046001559,9.294683946771036,-161.8972011716357,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,9,monthly,pv,pv_generating,kW,2415,1047030.3332140552,953584411.77551,-699395.9090614661,11264829.8663,433.5529330078904,628.3780467833836,9.294683946771036,-289.60493128839175,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,9,monthly,net_load,all,kW,4320,2113523.810336848,1973577342.0750148,1752695.1397907892,12992757.2159,489.2416227631592,675.9042883144099,16.266938381257557,405.7164675441642,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,9,monthly,net_load,pv_generating,kW,2415,1503745.8906660876,1612141967.4098437,1239465.7517630495,6015582.0124,622.6691058658748,817.0395398593125,24.99751291839087,513.236336133768,no_season,42,no_season_seed_42,False,exp004 无季节,2025-09-01
2,0,10,monthly,load,all,kW,4464,876822.5338707694,275195036.0161282,774754.6414181762,19405095.0093,196.4208185194376,248.28941482906143,4.518517087654285,173.55614727109682,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,10,monthly,load,pv_generating,kW,2321,426005.81965787266,119020967.52584223,367370.5155450568,11964408.5436,183.54408429895415,226.45096093945295,3.5606091024512168,158.28113552135147,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,10,monthly,pv,all,kW,4464,883359.3260812555,746994253.2026924,-718677.4117730188,10554293.4631,197.8851536920375,409.0689701168143,8.3696680329163,-160.994043855963,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,10,monthly,pv,pv_generating,kW,2321,883359.3260812555,746994253.2026925,-718677.4117730188,10554293.4631,380.5942809484082,567.31081141112,8.369668032916298,-309.64128038475604,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,10,monthly,net_load,all,kW,4464,1648064.3447701936,1244139827.704289,1493432.0531911952,13205688.9884,369.1900413911724,527.9253342433067,12.479957283696963,334.55019112705986,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,10,monthly,net_load,pv_generating,kW,2321,1197247.630557297,1087965759.2140028,1086047.9273180757,5765002.5227,515.8326715024976,684.6522558376081,20.767512691331387,467.9224159061076,no_season,42,no_season_seed_42,False,exp004 无季节,2025-10-01
2,0,11,monthly,load,all,kW,4320,584620.1109828458,123132573.2837522,312453.2100627042,18738740.217699997,135.32872939417726,168.8280500460455,3.1198474614138303,72.32713195895931,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,11,monthly,load,pv_generating,kW,2095,276647.58439177874,56829423.61781944,125178.00181884994,10922633.644900002,132.05135293163664,164.70038410404155,2.5327919381508424,59.75083619038183,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,11,monthly,pv,all,kW,4320,493302.27254395594,231937227.28036076,-190686.2249031512,8010905.7698,114.19034086665648,231.70924233091137,6.157883848835632,-44.1403298386924,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,11,monthly,pv,pv_generating,kW,2095,487296.0467067651,231691065.98345825,-196692.45074034203,8010905.7698,232.59954496742964,332.5543478353283,6.082908234219947,-93.8866113319055,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,11,monthly,net_load,all,kW,4320,912284.195777121,378189266.7955218,503139.43496585544,12694137.6827,211.17689717062987,295.87803527504815,7.186657483795948,116.46746179765172,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,11,monthly,net_load,pv_generating,kW,2095,605449.722849662,312284383.2910311,321870.45255919197,4878031.1099,288.9974810738243,386.08516953405984,12.411764279668027,153.63744752228737,no_season,42,no_season_seed_42,False,exp004 无季节,2025-11-01
2,0,12,monthly,load,all,kW,4464,709253.7647945591,181394363.38980383,162688.74876233254,20941989.5206,158.88301182673814,201.58109543146728,3.386754463308692,36.44461217794188,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,12,monthly,load,pv_generating,kW,2097,348663.74856413883,93546533.21263877,34804.31729854781,11943412.0743,166.26788200483492,211.210076308198,2.9192976545990437,16.59719470603138,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,12,monthly,pv,all,kW,4464,436231.33428423025,187495326.97582275,-211436.03398374008,6757767.9032,97.72207309234548,204.94301975825024,6.455257720195777,-47.36470295334679,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,12,monthly,pv,pv_generating,kW,2097,435696.28020183137,187488047.7228124,-211971.08806613897,6757767.9032,207.7712351940064,299.01128420102833,6.447340104644857,-101.0830176757935,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,12,monthly,net_load,all,kW,4464,967270.81549911,380867467.30211335,374124.7827460726,14723218.5464,216.68253035374332,292.09548634163184,6.569696785052609,83.80931513128867,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,12,monthly,net_load,pv_generating,kW,2097,606780.9927250228,293078185.05744684,246775.40536468677,5724641.100099999,289.3566965784563,373.845822023554,10.599459112195232,117.68021238182487,no_season,42,no_season_seed_42,False,exp004 无季节,2025-12-01
2,0,2,monthly,load,all,kW,4032,742356.2816817262,211701743.1468528,593101.0078124099,18212126.7901,184.11614129011068,229.14055216296572,4.0761646909095015,147.09846423918896,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,2,monthly,load,pv_generating,kW,2036,383195.4415729265,111714607.4105787,292103.74531046243,11041710.0541,188.20994183346093,234.24271601310429,3.4704356453431653,143.46942304050216,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,2,monthly,pv,all,kW,4032,619712.4743599603,407967414.06201106,-403634.68741384696,7928848.7577,153.69853034721237,318.0918017815263,7.815919981550088,-100.10780937843428,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,2,monthly,pv,pv_generating,kW,2036,615268.8513296694,407871642.83489394,-408078.3104441379,7928848.7577,302.1949171560262,447.5822645214972,7.759876245995472,-200.43139019849605,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,2,monthly,net_load,all,kW,4032,1219476.0469125332,737801625.758719,996735.6952262569,11949435.2218,302.44941639695764,427.76923022241687,10.205302796970498,247.2062736176232,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,2,monthly,net_load,pv_generating,kW,2036,862842.4002975875,638955656.7560778,700182.0557546003,4779018.4858,423.7929274546108,560.2043448898241,18.05480357235214,343.9008132389982,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-02-01
2,0,3,monthly,load,all,kW,4464,724012.478482395,192771889.13845044,496193.19136791833,19443840.3155,162.18917528727485,207.8068019139313,3.7236084370906695,111.15438874729354,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,3,monthly,load,pv_generating,kW,2426,410821.69855063554,116634899.10584252,278513.68489593395,12447297.5511,169.3411782978712,219.26477151412257,3.3004890970436405,114.8036623643586,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,3,monthly,pv,all,kW,4464,941257.7333891868,770753635.7254269,-538981.3928228731,10285934.3167,210.8552270137067,415.523602980423,9.15092109679315,-120.73955932412032,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,3,monthly,pv,pv_generating,kW,2426,933725.3648278444,770540786.1084486,-546513.7613842156,10285934.3167,384.8826730535219,563.5759055919143,9.07769130230464,-225.27360320866265,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,3,monthly,net_load,all,kW,4464,1478505.7380512755,1091609739.540429,1035174.5841907916,12562015.0946,331.2064825383682,494.5060484725162,11.769654206886258,231.89394807141383,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,3,monthly,net_load,pv_generating,kW,2426,1168082.0749931638,1017126338.8254578,825027.4462801495,5565472.3302,481.4847794695646,647.5033982873572,20.988013338145333,340.07726557302124,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-03-01
2,0,4,monthly,load,all,kW,4320,608876.6224221129,133594343.52994365,361410.7005726504,18977659.7719,140.9436625977113,175.85396372518113,3.2083862274929675,83.65988439181722,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,4,monthly,load,pv_generating,kW,2526,351936.155079705,77026131.9002941,197936.2411875159,12832349.4944,139.32547707035036,174.62337245953807,2.7425699029884503,78.35955708136021,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,4,monthly,pv,all,kW,4320,1097682.930927192,1006698517.9278568,-737927.5683058684,11671282.1779,254.09327104796108,482.7339477757412,9.404990079030858,-170.81656673746954,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,4,monthly,pv,pv_generating,kW,2526,1094282.2901300504,1006595420.0602294,-741328.2091030101,11671282.1779,433.20755745449344,631.2636787979558,9.375853256312435,-293.4791009908987,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,4,monthly,net_load,all,kW,4320,1526085.5888548172,1266649725.3321435,1099338.2688785188,12041832.4582,353.2605529756521,541.4849535656518,12.673200645767286,254.47645112928677,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,4,monthly,net_load,pv_generating,kW,2526,1270218.6648711257,1210540671.856743,939264.450290526,5896522.1807,502.8577453963285,692.2660278449977,21.54182797834117,371.8386580722589,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-04-01
2,0,5,monthly,load,all,kW,4464,750668.7102726008,201546694.66255313,275459.68401797453,19649089.488,168.16055337647867,212.48376211550453,3.8203740215598576,61.70691846280791,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,5,monthly,load,pv_generating,kW,2747,431595.180277655,107622283.81116249,192495.70704449672,13593091.3839,157.11510021028576,197.93462479795437,3.175106883992903,70.07488425354813,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,5,monthly,pv,all,kW,4464,1059073.5135202738,898581480.0491571,-586683.6582377998,12528226.6982,237.24765087819753,448.6592631603788,8.453498959054093,-131.4255506805107,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,5,monthly,pv,pv_generating,kW,2747,1058032.7985143606,898559682.2302378,-587724.3732437135,12528226.6982,385.1593733215728,571.9316550664674,8.44519199725508,-213.95135538540717,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,5,monthly,net_load,all,kW,4464,1591996.5790149898,1205022503.567244,862143.3422557742,12329827.1922,356.6300580230712,519.5597339164743,12.911750945074932,193.1324691433186,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,5,monthly,net_load,pv_generating,kW,2747,1273216.5139970875,1111235780.8971794,780220.0802882102,6273829.088099999,463.4934524925693,636.0244026248685,20.294089879051448,284.0262396389553,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-05-01
2,0,6,monthly,load,all,kW,4320,931954.2249559734,325913349.54668856,256989.43872684316,20737609.7592,215.7301446657346,274.66871861873784,4.494029137290149,59.48829600158407,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,6,monthly,load,pv_generating,kW,2765,552505.8707657633,181315654.40311515,194890.44614670257,14541332.1321,199.82129141618927,256.0767109320518,3.799554715802869,70.48479064980201,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,6,monthly,pv,all,kW,4320,1008109.8067252912,860479911.4513819,-360763.1296795473,10237650.7621,233.35875155678033,446.30165212311266,9.847081426701278,-83.50998372211743,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,6,monthly,pv,pv_generating,kW,2765,1006643.0756896395,860448637.963805,-362229.86071519856,10237650.7621,364.0662118226545,557.8467508691468,9.832754594601465,-131.00537458054197,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,6,monthly,net_load,all,kW,4320,1666816.7327608853,1282314607.900499,617752.5684063904,12512603.2655,385.83720665761234,544.8229851632112,13.321102710549976,142.99827972370147,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,6,monthly,net_load,pv_generating,kW,2765,1287953.8799257951,1137915120.9033704,557120.3068619011,6316325.6384,465.8061048556221,641.5158136831537,20.39087206168885,201.49016523034396,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-06-01
2,0,7,monthly,load,all,kW,4464,1363413.999355607,602689605.7116406,356490.10440391995,23825522.6407,305.4242830097686,367.4385831545192,5.722493562540165,79.85889435571683,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,7,monthly,load,pv_generating,kW,2784,817318.7112083244,355787339.5216532,183206.56404460617,16157122.530900002,293.5771232788522,357.4873096381436,5.058566026501485,65.80695547579244,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,7,monthly,pv,all,kW,4464,1180295.3174474614,1076249027.265213,-817141.2211630545,12156607.0836,264.4030729048973,491.0144724964719,9.709085021261824,-183.0513488268491,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,7,monthly,pv,pv_generating,kW,2784,1178010.4189811752,1076209181.0286183,-819426.1196293405,12156607.0836,423.1359263581807,621.7470464242601,9.69028949344248,-294.334094694447,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,7,monthly,net_load,all,kW,4464,2084525.3821742164,1689963018.5621903,1173631.3255669745,14558102.5933,466.9635712755861,615.2852549983721,14.318661163533545,262.910243182566,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,7,monthly,net_load,pv_generating,kW,2784,1539126.968630501,1443369766.6241393,1002632.6836739468,6889702.4835,552.8473306862433,720.0359602051524,22.33952732090425,360.14105017023945,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-07-01
2,0,8,monthly,load,all,kW,4464,1012284.3712162328,354478685.70085585,728418.8436098399,22521670.3527,226.76621219001623,281.7947971994628,4.49471267167746,163.17626424951612,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,8,monthly,load,pv_generating,kW,2668,608088.010944787,213058922.087529,450867.03501425,14745514.2869,227.9190445820041,282.5901045670633,4.123884722589946,168.9906428089393,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,8,monthly,pv,all,kW,4464,1056332.840917185,871472387.8923306,-487837.1889578375,13016993.1671,236.6337009223085,441.8396871215458,8.115029541438414,-109.28252440811772,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,8,monthly,pv,pv_generating,kW,2668,1056332.840917185,871472387.8923308,-487837.1889578375,13016993.1671,395.92685191798535,571.5232506614238,8.115029541438414,-182.84752209814,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,8,monthly,net_load,all,kW,4464,1791396.4897134895,1377513711.0071998,1216256.0325676776,14763437.7052,401.2984967996168,555.5023137360716,12.134006492827352,272.4587886576339,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,8,monthly,net_load,pv_generating,kW,2668,1387200.129442044,1236093947.393873,938704.2239720876,6987281.6394,519.9400785015158,680.6640716854832,19.85321618667662,351.83816490707926,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-08-01
2,0,9,monthly,load,all,kW,4320,1404719.2613153232,826799031.8678888,1293669.9498599467,19595133.0698,325.1664956748433,437.4799021489256,7.168715090178566,299.4606365416543,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,9,monthly,load,pv_generating,kW,2415,698592.1052092134,373249332.7523502,635913.2935341578,12617957.8663,289.2720932543327,393.13431436521535,5.536491028195703,263.31813396859536,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,9,monthly,pv,all,kW,4320,1045193.0906902538,968373871.0391428,-715140.4396957606,11264829.8663,241.94284506718836,473.45603628647285,9.27837440152617,-165.54176844809274,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,9,monthly,pv,pv_generating,kW,2415,1044704.3571254468,968369128.1167792,-715629.1732605674,11264829.8663,432.58979591115815,633.2306099924249,9.274035822332277,-296.32677981804034,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,9,monthly,net_load,all,kW,4320,2281140.2688254192,2180108616.4089622,2008810.389555707,12992757.2159,528.041728894773,710.3905773001845,17.557014503694827,465.00240498974705,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,9,monthly,net_load,pv_generating,kW,2415,1575420.3585936767,1726962351.3795297,1351542.4667947253,6015582.0124,652.347974572951,845.6348397179084,26.1889931073376,559.6449137866357,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-09-01
2,0,10,monthly,load,all,kW,4464,769662.2546539234,226820162.64904612,596876.374577871,19405095.0093,172.41537962677498,225.4128841378855,3.966289545529453,133.7088652728206,no_season,2026,no_season_seed_2026,False,exp004 无季节,2025-10-01
