beta,date,layer,max_overlap_kwh,overlap_nodes,nodes,label
0.01,2025-02-01,1,427.61447817738497,1,10584,第一层参考解
0.01,2025-02-01,2,0.0,0,10584,第二层方案
0.01,2025-02-02,1,0.0,0,10584,第一层参考解
0.01,2025-02-02,2,0.0,0,10584,第二层方案
0.01,2025-02-03,1,0.0,0,10584,第一层参考解
0.01,2025-02-03,2,0.0,0,10584,第二层方案
0.01,2025-02-04,1,0.0,0,10584,第一层参考解
0.01,2025-02-04,2,0.0,0,10584,第二层方案
0.01,2025-02-05,1,0.0,0,14832,第一层参考解
0.01,2025-02-05,2,0.0,0,14832,第二层方案
0.01,2025-02-06,1,0.0,0,17316,第一层参考解
0.01,2025-02-06,2,0.0,0,17316,第二层方案
0.01,2025-02-07,1,0.0,0,20556,第一层参考解
0.01,2025-02-07,2,0.0,0,20556,第二层方案
0.01,2025-02-08,1,0.0,0,19692,第一层参考解
0.01,2025-02-08,2,0.0,0,19692,第二层方案
0.01,2025-02-09,1,0.0,0,21888,第一层参考解
0.01,2025-02-09,2,0.0,0,21888,第二层方案
0.01,2025-02-10,1,0.0,0,20628,第一层参考解
0.01,2025-02-10,2,0.0,0,20628,第二层方案
0.01,2025-02-11,1,0.0,0,24156,第一层参考解
0.01,2025-02-11,2,0.0,0,24156,第二层方案
0.01,2025-02-12,1,0.0,0,25308,第一层参考解
0.01,2025-02-12,2,0.0,0,25308,第二层方案
0.01,2025-02-13,1,0.0,0,25380,第一层参考解
0.01,2025-02-13,2,0.0,0,25380,第二层方案
0.01,2025-02-14,1,0.0,0,26748,第一层参考解
0.01,2025-02-14,2,0.0,0,26748,第二层方案
0.01,2025-02-15,1,0.0,0,27576,第一层参考解
0.01,2025-02-15,2,0.0,0,27576,第二层方案
0.01,2025-02-16,1,0.0,0,27792,第一层参考解
0.01,2025-02-16,2,0.0,0,27792,第二层方案
0.01,2025-02-17,1,0.0,0,29160,第一层参考解
0.01,2025-02-17,2,0.0,0,29160,第二层方案
0.01,2025-02-18,1,0.0,0,27756,第一层参考解
0.01,2025-02-18,2,0.0,0,27756,第二层方案
0.01,2025-02-19,1,0.0,0,27252,第一层参考解
0.01,2025-02-19,2,0.0,0,27252,第二层方案
0.01,2025-02-20,1,0.0,0,28656,第一层参考解
0.01,2025-02-20,2,0.0,0,28656,第二层方案
0.01,2025-02-21,1,0.0,0,26784,第一层参考解
0.01,2025-02-21,2,0.0,0,26784,第二层方案
0.01,2025-02-22,1,0.0,0,29160,第一层参考解
0.01,2025-02-22,2,0.0,0,29160,第二层方案
0.01,2025-02-23,1,0.0,0,28656,第一层参考解
0.01,2025-02-23,2,0.0,0,28656,第二层方案
0.01,2025-02-24,1,0.0,0,28152,第一层参考解
0.01,2025-02-24,2,0.0,0,28152,第二层方案
0.01,2025-02-25,1,0.0,0,26676,第一层参考解
0.01,2025-02-25,2,0.0,0,26676,第二层方案
0.01,2025-02-26,1,0.0,0,26712,第一层参考解
0.01,2025-02-26,2,0.0,0,26712,第二层方案
0.01,2025-02-27,1,0.0,0,26856,第一层参考解
0.01,2025-02-27,2,0.0,0,26856,第二层方案
0.01,2025-02-28,1,0.0,0,25740,第一层参考解
0.01,2025-02-28,2,0.0,0,25740,第二层方案
0.01,2025-03-01,1,0.0,0,25920,第一层参考解
0.01,2025-03-01,2,0.0,0,25920,第二层方案
0.01,2025-03-02,1,0.0,0,27072,第一层参考解
0.01,2025-03-02,2,1.074340616469271e-11,0,27072,第二层方案
0.01,2025-03-03,1,0.0,0,26064,第一层参考解
0.01,2025-03-03,2,0.0,0,26064,第二层方案
0.01,2025-03-04,1,3.4106051316484763e-13,0,25308,第一层参考解
0.01,2025-03-04,2,0.0,0,25308,第二层方案
0.01,2025-03-05,1,0.0,0,26352,第一层参考解
0.01,2025-03-05,2,0.0,0,26352,第二层方案
0.01,2025-03-06,1,0.0,0,26676,第一层参考解
0.01,2025-03-06,2,0.0,0,26676,第二层方案
0.01,2025-03-07,1,0.0,0,26856,第一层参考解
0.01,2025-03-07,2,0.0,0,26856,第二层方案
0.01,2025-03-08,1,0.0,0,26352,第一层参考解
0.01,2025-03-08,2,0.0,0,26352,第二层方案
0.01,2025-03-09,1,0.0,0,27396,第一层参考解
0.01,2025-03-09,2,0.0,0,27396,第二层方案
0.01,2025-03-10,1,0.0,0,25560,第一层参考解
0.01,2025-03-10,2,0.0,0,25560,第二层方案
0.01,2025-03-11,1,0.0,0,27720,第一层参考解
0.01,2025-03-11,2,0.0,0,27720,第二层方案
0.01,2025-03-12,1,0.0,0,27684,第一层参考解
0.01,2025-03-12,2,0.0,0,27684,第二层方案
0.01,2025-03-13,1,0.0,0,26280,第一层参考解
0.01,2025-03-13,2,0.0,0,26280,第二层方案
0.01,2025-03-14,1,0.0,0,26820,第一层参考解
0.01,2025-03-14,2,0.0,0,26820,第二层方案
0.01,2025-03-15,1,0.0,0,27036,第一层参考解
0.01,2025-03-15,2,0.0,0,27036,第二层方案
0.01,2025-03-16,1,0.0,0,25812,第一层参考解
0.01,2025-03-16,2,0.0,0,25812,第二层方案
0.01,2025-03-17,1,0.0,0,25380,第一层参考解
0.01,2025-03-17,2,0.0,0,25380,第二层方案
0.01,2025-03-18,1,0.0,0,26532,第一层参考解
0.01,2025-03-18,2,0.0,0,26532,第二层方案
0.01,2025-03-19,1,0.0,0,26784,第一层参考解
0.01,2025-03-19,2,0.0,0,26784,第二层方案
0.01,2025-03-20,1,0.0,0,25272,第一层参考解
0.01,2025-03-20,2,0.0,0,25272,第二层方案
0.01,2025-03-21,1,0.0,0,26820,第一层参考解
0.01,2025-03-21,2,0.0,0,26820,第二层方案
0.01,2025-03-22,1,0.0,0,27108,第一层参考解
0.01,2025-03-22,2,0.0,0,27108,第二层方案
0.01,2025-03-23,1,0.0,0,26892,第一层参考解
0.01,2025-03-23,2,0.0,0,26892,第二层方案
0.01,2025-03-24,1,0.0,0,27684,第一层参考解
0.01,2025-03-24,2,0.0,0,27684,第二层方案
0.01,2025-03-25,1,0.0,0,26172,第一层参考解
0.01,2025-03-25,2,0.0,0,26172,第二层方案
0.01,2025-03-26,1,0.0,0,27324,第一层参考解
0.01,2025-03-26,2,0.0,0,27324,第二层方案
0.01,2025-03-27,1,0.0,0,25704,第一层参考解
0.01,2025-03-27,2,0.0,0,25704,第二层方案
0.01,2025-03-28,1,0.0,0,28224,第一层参考解
0.01,2025-03-28,2,0.0,0,28224,第二层方案
0.01,2025-03-29,1,0.0,0,25272,第一层参考解
0.01,2025-03-29,2,0.0,0,25272,第二层方案
0.01,2025-03-30,1,0.0,0,27468,第一层参考解
0.01,2025-03-30,2,0.0,0,27468,第二层方案
0.01,2025-03-31,1,0.0,0,25992,第一层参考解
0.01,2025-03-31,2,0.0,0,25992,第二层方案
0.01,2025-04-01,1,0.0,0,25596,第一层参考解
0.01,2025-04-01,2,0.0,0,25596,第二层方案
0.01,2025-04-02,1,0.0,0,24084,第一层参考解
0.01,2025-04-02,2,0.0,0,24084,第二层方案
0.01,2025-04-03,1,0.0,0,27504,第一层参考解
0.01,2025-04-03,2,0.0,0,27504,第二层方案
0.01,2025-04-04,1,0.0,0,26964,第一层参考解
0.01,2025-04-04,2,0.0,0,26964,第二层方案
0.01,2025-04-05,1,0.0,0,24840,第一层参考解
0.01,2025-04-05,2,0.0,0,24840,第二层方案
0.01,2025-04-06,1,0.0,0,27468,第一层参考解
0.01,2025-04-06,2,0.0,0,27468,第二层方案
0.01,2025-04-07,1,0.0,0,26676,第一层参考解
0.01,2025-04-07,2,0.0,0,26676,第二层方案
0.01,2025-04-08,1,0.0,0,27432,第一层参考解
0.01,2025-04-08,2,0.0,0,27432,第二层方案
0.01,2025-04-09,1,0.0,0,27396,第一层参考解
0.01,2025-04-09,2,0.0,0,27396,第二层方案
0.01,2025-04-10,1,0.0,0,26568,第一层参考解
0.01,2025-04-10,2,0.0,0,26568,第二层方案
0.01,2025-04-11,1,0.0,0,27432,第一层参考解
0.01,2025-04-11,2,0.0,0,27432,第二层方案
0.01,2025-04-12,1,0.0,0,27108,第一层参考解
0.01,2025-04-12,2,0.0,0,27108,第二层方案
0.01,2025-04-13,1,0.0,0,24192,第一层参考解
0.01,2025-04-13,2,0.0,0,24192,第二层方案
0.01,2025-04-14,1,0.0,0,22104,第一层参考解
0.01,2025-04-14,2,0.0,0,22104,第二层方案
0.01,2025-04-15,1,0.0,0,25092,第一层参考解
0.01,2025-04-15,2,0.0,0,25092,第二层方案
0.01,2025-04-16,1,0.0,0,26496,第一层参考解
0.01,2025-04-16,2,0.0,0,26496,第二层方案
0.01,2025-04-17,1,0.0,0,25200,第一层参考解
0.01,2025-04-17,2,0.0,0,25200,第二层方案
0.01,2025-04-18,1,0.0,0,25020,第一层参考解
0.01,2025-04-18,2,0.0,0,25020,第二层方案
0.01,2025-04-19,1,0.0,0,24768,第一层参考解
0.01,2025-04-19,2,0.0,0,24768,第二层方案
0.01,2025-04-20,1,0.0,0,26820,第一层参考解
0.01,2025-04-20,2,0.0,0,26820,第二层方案
0.01,2025-04-21,1,0.0,0,26388,第一层参考解
0.01,2025-04-21,2,0.0,0,26388,第二层方案
0.01,2025-04-22,1,0.0,0,27432,第一层参考解
0.01,2025-04-22,2,0.0,0,27432,第二层方案
0.01,2025-04-23,1,0.0,0,23472,第一层参考解
0.01,2025-04-23,2,0.0,0,23472,第二层方案
0.01,2025-04-24,1,0.0,0,26928,第一层参考解
0.01,2025-04-24,2,0.0,0,26928,第二层方案
0.01,2025-04-25,1,0.0,0,23112,第一层参考解
0.01,2025-04-25,2,0.0,0,23112,第二层方案
0.01,2025-04-26,1,0.0,0,26532,第一层参考解
0.01,2025-04-26,2,0.0,0,26532,第二层方案
0.01,2025-04-27,1,0.0,0,26244,第一层参考解
0.01,2025-04-27,2,0.0,0,26244,第二层方案
0.01,2025-04-28,1,0.0,0,25236,第一层参考解
0.01,2025-04-28,2,0.0,0,25236,第二层方案
0.01,2025-04-29,1,0.0,0,26100,第一层参考解
0.01,2025-04-29,2,0.0,0,26100,第二层方案
0.01,2025-04-30,1,0.0,0,27000,第一层参考解
0.01,2025-04-30,2,0.0,0,27000,第二层方案
0.01,2025-05-01,1,0.0,0,26280,第一层参考解
0.01,2025-05-01,2,0.0,0,26280,第二层方案
0.01,2025-05-02,1,0.0,0,27324,第一层参考解
0.01,2025-05-02,2,0.0,0,27324,第二层方案
0.01,2025-05-03,1,0.0,0,28224,第一层参考解
0.01,2025-05-03,2,0.0,0,28224,第二层方案
0.01,2025-05-04,1,0.0,0,27072,第一层参考解
0.01,2025-05-04,2,0.0,0,27072,第二层方案
0.01,2025-05-05,1,0.0,0,28116,第一层参考解
0.01,2025-05-05,2,0.0,0,28116,第二层方案
0.01,2025-05-06,1,0.0,0,26460,第一层参考解
0.01,2025-05-06,2,0.0,0,26460,第二层方案
0.01,2025-05-07,1,0.0,0,26568,第一层参考解
0.01,2025-05-07,2,0.0,0,26568,第二层方案
0.01,2025-05-08,1,0.0,0,27360,第一层参考解
0.01,2025-05-08,2,0.0,0,27360,第二层方案
0.01,2025-05-09,1,0.0,0,26208,第一层参考解
0.01,2025-05-09,2,0.0,0,26208,第二层方案
0.01,2025-05-10,1,0.0,0,25668,第一层参考解
0.01,2025-05-10,2,0.0,0,25668,第二层方案
0.01,2025-05-11,1,0.0,0,27180,第一层参考解
0.01,2025-05-11,2,0.0,0,27180,第二层方案
0.01,2025-05-12,1,0.0,0,27756,第一层参考解
0.01,2025-05-12,2,0.0,0,27756,第二层方案
0.01,2025-05-13,1,0.0,0,26892,第一层参考解
0.01,2025-05-13,2,0.0,0,26892,第二层方案
0.01,2025-05-14,1,0.0,0,27468,第一层参考解
0.01,2025-05-14,2,0.0,0,27468,第二层方案
0.01,2025-05-15,1,0.0,0,27936,第一层参考解
0.01,2025-05-15,2,0.0,0,27936,第二层方案
0.01,2025-05-16,1,0.0,0,27072,第一层参考解
0.01,2025-05-16,2,0.0,0,27072,第二层方案
0.01,2025-05-17,1,0.0,0,27072,第一层参考解
0.01,2025-05-17,2,0.0,0,27072,第二层方案
0.01,2025-05-18,1,0.0,0,22968,第一层参考解
0.01,2025-05-18,2,0.0,0,22968,第二层方案
0.01,2025-05-19,1,0.0,0,27792,第一层参考解
0.01,2025-05-19,2,0.0,0,27792,第二层方案
0.01,2025-05-20,1,0.0,0,27396,第一层参考解
0.01,2025-05-20,2,0.0,0,27396,第二层方案
0.01,2025-05-21,1,0.0,0,25992,第一层参考解
0.01,2025-05-21,2,0.0,0,25992,第二层方案
0.01,2025-05-22,1,0.0,0,27360,第一层参考解
0.01,2025-05-22,2,0.0,0,27360,第二层方案
0.01,2025-05-23,1,0.0,0,27540,第一层参考解
0.01,2025-05-23,2,0.0,0,27540,第二层方案
0.01,2025-05-24,1,0.0,0,24804,第一层参考解
0.01,2025-05-24,2,0.0,0,24804,第二层方案
0.01,2025-05-25,1,0.0,0,27648,第一层参考解
0.01,2025-05-25,2,0.0,0,27648,第二层方案
0.01,2025-05-26,1,0.0,0,26496,第一层参考解
0.01,2025-05-26,2,0.0,0,26496,第二层方案
0.01,2025-05-27,1,0.0,0,28116,第一层参考解
0.01,2025-05-27,2,0.0,0,28116,第二层方案
0.01,2025-05-28,1,0.0,0,27720,第一层参考解
0.01,2025-05-28,2,0.0,0,27720,第二层方案
0.01,2025-05-29,1,0.0,0,26496,第一层参考解
0.01,2025-05-29,2,0.0,0,26496,第二层方案
0.01,2025-05-30,1,0.0,0,28512,第一层参考解
0.01,2025-05-30,2,0.0,0,28512,第二层方案
0.01,2025-05-31,1,0.0,0,26172,第一层参考解
0.01,2025-05-31,2,0.0,0,26172,第二层方案
0.01,2025-06-01,1,0.0,0,26496,第一层参考解
0.01,2025-06-01,2,0.0,0,26496,第二层方案
0.01,2025-06-02,1,0.0,0,27936,第一层参考解
0.01,2025-06-02,2,0.0,0,27936,第二层方案
0.01,2025-06-03,1,0.0,0,27324,第一层参考解
0.01,2025-06-03,2,0.0,0,27324,第二层方案
0.01,2025-06-04,1,0.0,0,25308,第一层参考解
0.01,2025-06-04,2,8.313350008393149e-13,0,25308,第二层方案
0.01,2025-06-05,1,0.0,0,25740,第一层参考解
0.01,2025-06-05,2,0.0,0,25740,第二层方案
0.01,2025-06-06,1,0.0,0,27252,第一层参考解
0.01,2025-06-06,2,0.0,0,27252,第二层方案
0.01,2025-06-07,1,0.0,0,27828,第一层参考解
0.01,2025-06-07,2,0.0,0,27828,第二层方案
0.01,2025-06-08,1,0.0,0,24732,第一层参考解
0.01,2025-06-08,2,0.0,0,24732,第二层方案
0.01,2025-06-09,1,0.0,0,26712,第一层参考解
0.01,2025-06-09,2,0.0,0,26712,第二层方案
0.01,2025-06-10,1,0.0,0,24804,第一层参考解
0.01,2025-06-10,2,0.0,0,24804,第二层方案
0.01,2025-06-11,1,0.0,0,22392,第一层参考解
0.01,2025-06-11,2,0.0,0,22392,第二层方案
0.01,2025-06-12,1,0.0,0,26064,第一层参考解
0.01,2025-06-12,2,0.0,0,26064,第二层方案
0.01,2025-06-13,1,0.0,0,24336,第一层参考解
0.01,2025-06-13,2,0.0,0,24336,第二层方案
0.01,2025-06-14,1,0.0,0,27288,第一层参考解
0.01,2025-06-14,2,0.0,0,27288,第二层方案
0.01,2025-06-15,1,0.0,0,24084,第一层参考解
0.01,2025-06-15,2,0.0,0,24084,第二层方案
0.01,2025-06-16,1,0.0,0,23040,第一层参考解
0.01,2025-06-16,2,0.0,0,23040,第二层方案
0.01,2025-06-17,1,0.0,0,25452,第一层参考解
0.01,2025-06-17,2,0.0,0,25452,第二层方案
0.01,2025-06-18,1,0.0,0,24408,第一层参考解
0.01,2025-06-18,2,0.0,0,24408,第二层方案
0.01,2025-06-19,1,0.0,0,26280,第一层参考解
0.01,2025-06-19,2,0.0,0,26280,第二层方案
0.01,2025-06-20,1,0.0,0,27216,第一层参考解
0.01,2025-06-20,2,0.0,0,27216,第二层方案
0.01,2025-06-21,1,0.0,0,25236,第一层参考解
0.01,2025-06-21,2,0.0,0,25236,第二层方案
0.01,2025-06-22,1,0.0,0,27396,第一层参考解
0.01,2025-06-22,2,0.0,0,27396,第二层方案
0.01,2025-06-23,1,0.0,0,24048,第一层参考解
0.01,2025-06-23,2,0.0,0,24048,第二层方案
0.01,2025-06-24,1,0.0,0,27648,第一层参考解
0.01,2025-06-24,2,0.0,0,27648,第二层方案
0.01,2025-06-25,1,0.0,0,27180,第一层参考解
0.01,2025-06-25,2,0.0,0,27180,第二层方案
0.01,2025-06-26,1,0.0,0,26856,第一层参考解
0.01,2025-06-26,2,79.3743827303435,1,26856,第二层方案
0.01,2025-06-27,1,0.0,0,26676,第一层参考解
0.01,2025-06-27,2,0.0,0,26676,第二层方案
0.01,2025-06-28,1,0.0,0,26532,第一层参考解
0.01,2025-06-28,2,0.0,0,26532,第二层方案
0.01,2025-06-29,1,0.0,0,23400,第一层参考解
0.01,2025-06-29,2,0.0,0,23400,第二层方案
0.01,2025-06-30,1,0.0,0,24912,第一层参考解
0.01,2025-06-30,2,0.0,0,24912,第二层方案
0.01,2025-07-01,1,0.0,0,27144,第一层参考解
0.01,2025-07-01,2,0.0,0,27144,第二层方案
0.01,2025-07-02,1,0.0,0,25452,第一层参考解
0.01,2025-07-02,2,0.0,0,25452,第二层方案
0.01,2025-07-03,1,0.0,0,26100,第一层参考解
0.01,2025-07-03,2,0.0,0,26100,第二层方案
0.01,2025-07-04,1,0.0,0,25020,第一层参考解
0.01,2025-07-04,2,0.0,0,25020,第二层方案
0.01,2025-07-05,1,0.0,0,24588,第一层参考解
0.01,2025-07-05,2,0.0,0,24588,第二层方案
0.01,2025-07-06,1,0.0,0,25236,第一层参考解
0.01,2025-07-06,2,0.0,0,25236,第二层方案
0.01,2025-07-07,1,0.0,0,22932,第一层参考解
0.01,2025-07-07,2,0.0,0,22932,第二层方案
0.01,2025-07-08,1,0.0,0,24228,第一层参考解
0.01,2025-07-08,2,0.0,0,24228,第二层方案
0.01,2025-07-09,1,0.0,0,20340,第一层参考解
0.01,2025-07-09,2,0.0,0,20340,第二层方案
0.01,2025-07-10,1,0.0,0,26604,第一层参考解
0.01,2025-07-10,2,0.0,0,26604,第二层方案
0.01,2025-07-11,1,0.0,0,26604,第一层参考解
0.01,2025-07-11,2,0.0,0,26604,第二层方案
0.01,2025-07-12,1,0.0,0,17820,第一层参考解
0.01,2025-07-12,2,0.0,0,17820,第二层方案
0.01,2025-07-13,1,0.0,0,26388,第一层参考解
0.01,2025-07-13,2,0.0,0,26388,第二层方案
0.01,2025-07-14,1,0.0,0,21456,第一层参考解
0.01,2025-07-14,2,0.0,0,21456,第二层方案
0.01,2025-07-15,1,0.0,0,24012,第一层参考解
0.01,2025-07-15,2,0.0,0,24012,第二层方案
0.01,2025-07-16,1,0.0,0,19512,第一层参考解
0.01,2025-07-16,2,0.0,0,19512,第二层方案
0.01,2025-07-17,1,0.0,0,19044,第一层参考解
0.01,2025-07-17,2,0.0,0,19044,第二层方案
0.01,2025-07-18,1,0.0,0,25056,第一层参考解
0.01,2025-07-18,2,0.0,0,25056,第二层方案
0.01,2025-07-19,1,0.0,0,25452,第一层参考解
0.01,2025-07-19,2,0.0,0,25452,第二层方案
0.01,2025-07-20,1,0.0,0,23112,第一层参考解
0.01,2025-07-20,2,0.0,0,23112,第二层方案
0.01,2025-07-21,1,0.0,0,25128,第一层参考解
0.01,2025-07-21,2,0.0,0,25128,第二层方案
0.01,2025-07-22,1,0.7203978947275859,1,23904,第一层参考解
0.01,2025-07-22,2,0.0,0,23904,第二层方案
0.01,2025-07-23,1,0.0,0,25020,第一层参考解
0.01,2025-07-23,2,0.0,0,25020,第二层方案
0.01,2025-07-24,1,0.0,0,21456,第一层参考解
0.01,2025-07-24,2,0.0,0,21456,第二层方案
0.01,2025-07-25,1,0.0,0,26352,第一层参考解
0.01,2025-07-25,2,0.0,0,26352,第二层方案
0.01,2025-07-26,1,0.0,0,23904,第一层参考解
0.01,2025-07-26,2,0.0,0,23904,第二层方案
0.01,2025-07-27,1,0.0,0,24084,第一层参考解
0.01,2025-07-27,2,0.0,0,24084,第二层方案
0.01,2025-07-28,1,0.0,0,25524,第一层参考解
0.01,2025-07-28,2,0.0,0,25524,第二层方案
0.01,2025-07-29,1,0.0,0,19152,第一层参考解
0.01,2025-07-29,2,0.0,0,19152,第二层方案
0.01,2025-07-30,1,0.0,0,26352,第一层参考解
0.01,2025-07-30,2,0.0,0,26352,第二层方案
0.01,2025-07-31,1,0.0,0,25236,第一层参考解
0.01,2025-07-31,2,0.0,0,25236,第二层方案
0.01,2025-08-01,1,0.0,0,24840,第一层参考解
0.01,2025-08-01,2,0.0,0,24840,第二层方案
0.01,2025-08-02,1,0.0,0,24804,第一层参考解
0.01,2025-08-02,2,0.0,0,24804,第二层方案
0.01,2025-08-03,1,0.0,0,20160,第一层参考解
0.01,2025-08-03,2,0.0,0,20160,第二层方案
0.01,2025-08-04,1,0.0,0,25632,第一层参考解
0.01,2025-08-04,2,0.0,0,25632,第二层方案
0.01,2025-08-05,1,0.0,0,20448,第一层参考解
0.01,2025-08-05,2,0.0,0,20448,第二层方案
0.01,2025-08-06,1,0.0,0,26136,第一层参考解
0.01,2025-08-06,2,0.0,0,26136,第二层方案
0.01,2025-08-07,1,0.0,0,26640,第一层参考解
0.01,2025-08-07,2,0.0,0,26640,第二层方案
0.01,2025-08-08,1,0.0,0,24444,第一层参考解
0.01,2025-08-08,2,0.0,0,24444,第二层方案
0.01,2025-08-09,1,0.0,0,18864,第一层参考解
0.01,2025-08-09,2,0.0,0,18864,第二层方案
0.01,2025-08-10,1,0.0,0,20592,第一层参考解
0.01,2025-08-10,2,0.0,0,20592,第二层方案
0.01,2025-08-11,1,0.0,0,23580,第一层参考解
0.01,2025-08-11,2,0.0,0,23580,第二层方案
0.01,2025-08-12,1,0.0,0,19116,第一层参考解
0.01,2025-08-12,2,0.0,0,19116,第二层方案
0.01,2025-08-13,1,0.0,0,26460,第一层参考解
0.01,2025-08-13,2,0.0,0,26460,第二层方案
0.01,2025-08-14,1,0.0,0,19980,第一层参考解
0.01,2025-08-14,2,0.0,0,19980,第二层方案
0.01,2025-08-15,1,0.0,0,23832,第一层参考解
0.01,2025-08-15,2,0.0,0,23832,第二层方案
0.01,2025-08-16,1,0.0,0,23760,第一层参考解
0.01,2025-08-16,2,0.0,0,23760,第二层方案
0.01,2025-08-17,1,0.0,0,26460,第一层参考解
0.01,2025-08-17,2,0.0,0,26460,第二层方案
0.01,2025-08-18,1,0.0,0,19476,第一层参考解
0.01,2025-08-18,2,5.636972370363462e-12,0,19476,第二层方案
0.01,2025-08-19,1,0.0,0,18144,第一层参考解
0.01,2025-08-19,2,0.0,0,18144,第二层方案
0.01,2025-08-20,1,0.0,0,24660,第一层参考解
0.01,2025-08-20,2,0.0,0,24660,第二层方案
0.01,2025-08-21,1,0.0,0,24156,第一层参考解
0.01,2025-08-21,2,0.0,0,24156,第二层方案
0.01,2025-08-22,1,0.0,0,25452,第一层参考解
0.01,2025-08-22,2,0.0,0,25452,第二层方案
0.01,2025-08-23,1,0.0,0,24660,第一层参考解
0.01,2025-08-23,2,0.0,0,24660,第二层方案
0.01,2025-08-24,1,0.0,0,26064,第一层参考解
0.01,2025-08-24,2,0.0,0,26064,第二层方案
0.01,2025-08-25,1,0.0,0,19764,第一层参考解
0.01,2025-08-25,2,0.0,0,19764,第二层方案
0.01,2025-08-26,1,0.0,0,22680,第一层参考解
0.01,2025-08-26,2,0.0,0,22680,第二层方案
0.01,2025-08-27,1,0.0,0,23904,第一层参考解
0.01,2025-08-27,2,0.0,0,23904,第二层方案
0.01,2025-08-28,1,0.0,0,26352,第一层参考解
0.01,2025-08-28,2,0.0,0,26352,第二层方案
0.01,2025-08-29,1,0.0,0,24120,第一层参考解
0.01,2025-08-29,2,0.0,0,24120,第二层方案
0.01,2025-08-30,1,0.0,0,25092,第一层参考解
0.01,2025-08-30,2,0.0,0,25092,第二层方案
0.01,2025-08-31,1,414.0602960750885,1,27576,第一层参考解
0.01,2025-08-31,2,0.0,0,27576,第二层方案
0.01,2025-09-01,1,0.0,0,26820,第一层参考解
0.01,2025-09-01,2,0.0,0,26820,第二层方案
0.01,2025-09-02,1,0.0,0,28008,第一层参考解
0.01,2025-09-02,2,0.0,0,28008,第二层方案
0.01,2025-09-03,1,0.0,0,27324,第一层参考解
0.01,2025-09-03,2,0.0,0,27324,第二层方案
0.01,2025-09-04,1,211.03394039494438,1,20664,第一层参考解
0.01,2025-09-04,2,8.628224332374091e-12,0,20664,第二层方案
0.01,2025-09-05,1,0.0,0,26604,第一层参考解
0.01,2025-09-05,2,0.0,0,26604,第二层方案
0.01,2025-09-06,1,0.0,0,26064,第一层参考解
0.01,2025-09-06,2,0.0,0,26064,第二层方案
0.01,2025-09-07,1,0.0,0,25668,第一层参考解
0.01,2025-09-07,2,0.0,0,25668,第二层方案
0.01,2025-09-08,1,0.0,0,25596,第一层参考解
0.01,2025-09-08,2,0.0,0,25596,第二层方案
0.01,2025-09-09,1,0.0,0,25884,第一层参考解
0.01,2025-09-09,2,0.0,0,25884,第二层方案
0.01,2025-09-10,1,0.0,0,26496,第一层参考解
0.01,2025-09-10,2,0.0,0,26496,第二层方案
0.01,2025-09-11,1,0.0,0,22356,第一层参考解
0.01,2025-09-11,2,21.355171226544773,1,22356,第二层方案
0.01,2025-09-12,1,0.0,0,24768,第一层参考解
0.01,2025-09-12,2,0.0,0,24768,第二层方案
0.01,2025-09-13,1,0.0,0,24372,第一层参考解
0.01,2025-09-13,2,0.0,0,24372,第二层方案
0.01,2025-09-14,1,0.0,0,23400,第一层参考解
0.01,2025-09-14,2,0.0,0,23400,第二层方案
0.01,2025-09-15,1,0.0,0,26460,第一层参考解
0.01,2025-09-15,2,0.0,0,26460,第二层方案
0.01,2025-09-16,1,0.0,0,24408,第一层参考解
0.01,2025-09-16,2,0.0,0,24408,第二层方案
0.01,2025-09-17,1,0.0,0,27720,第一层参考解
0.01,2025-09-17,2,230.6496295785681,1,27720,第二层方案
0.01,2025-09-18,1,0.0,0,26352,第一层参考解
0.01,2025-09-18,2,0.0,0,26352,第二层方案
0.01,2025-09-19,1,0.0,0,27576,第一层参考解
0.01,2025-09-19,2,0.0,0,27576,第二层方案
0.01,2025-09-20,1,0.0,0,21852,第一层参考解
0.01,2025-09-20,2,0.0,0,21852,第二层方案
0.01,2025-09-21,1,0.0,0,26964,第一层参考解
0.01,2025-09-21,2,0.0,0,26964,第二层方案
0.01,2025-09-22,1,0.0,0,26604,第一层参考解
0.01,2025-09-22,2,0.0,0,26604,第二层方案
0.01,2025-09-23,1,0.0,0,26532,第一层参考解
0.01,2025-09-23,2,0.0,0,26532,第二层方案
0.01,2025-09-24,1,0.0,0,20880,第一层参考解
0.01,2025-09-24,2,0.0,0,20880,第二层方案
0.01,2025-09-25,1,0.0,0,21600,第一层参考解
0.01,2025-09-25,2,0.0,0,21600,第二层方案
0.01,2025-09-26,1,0.0,0,21960,第一层参考解
0.01,2025-09-26,2,0.0,0,21960,第二层方案
0.01,2025-09-27,1,0.0,0,21960,第一层参考解
0.01,2025-09-27,2,0.0,0,21960,第二层方案
0.01,2025-09-28,1,0.0,0,24912,第一层参考解
0.01,2025-09-28,2,0.0,0,24912,第二层方案
0.01,2025-09-29,1,0.0,0,25416,第一层参考解
0.01,2025-09-29,2,0.0,0,25416,第二层方案
0.01,2025-09-30,1,0.0,0,25596,第一层参考解
0.01,2025-09-30,2,0.0,0,25596,第二层方案
0.01,2025-10-01,1,0.0,0,25056,第一层参考解
0.01,2025-10-01,2,0.0,0,25056,第二层方案
0.01,2025-10-02,1,0.0,0,25020,第一层参考解
